crop,climate_zone,soil_type,last_crop_category,last_crop,season,recommendation_type,recommendation_text
рожь,засушливая,торфяная,технические,кукуруза,осень,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после кукуруза.
ячмень,засушливая,чернозем,бобовые,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под ячмень.
подсолнечник,южная,чернозем,бобовые,пар,лето,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под подсолнечник.
подсолнечник,континентальная,чернозем,овощи,люцерна,осень,севооборот,"После люцерна, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
кукуруза,субтропическая,суглинок,бобовые,многолетние травы,весна,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под кукуруза.
соя,северная,торфяная,овощи,горох,весна,севооборот,"После горох, лучше всего сажать соя, так как сохраняется плодородие почвы."
гречиха,умеренная,песчаная,овощи,многолетние травы,весна,защита растений,Проверить посевы гречиха после многолетние травы на болезни и провести профилактическую обработку.
гречиха,засушливая,торфяная,кормовые,люцерна,осень,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под гречиха.
гречиха,умеренная,глинистая,овощи,ячмень,осень,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под гречиха.
овес,субтропическая,суглинок,технические,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать овес, так как сохраняется плодородие почвы."
гречиха,северная,глинистая,кормовые,пар,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после пар.
картофель,южная,супесчаная,овощи,подсолнечник,весна,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под картофель.
пшеница,умеренная,торфяная,сидераты,люцерна,осень,защита растений,Проверить посевы пшеница после люцерна на болезни и провести профилактическую обработку.
рапс,засушливая,глинистая,сидераты,картофель,осень,защита растений,Проверить посевы рапс после картофель на болезни и провести профилактическую обработку.
соя,субтропическая,торфяная,зерновые,многолетние травы,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
рапс,континентальная,суглинок,бобовые,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать рапс, так как сохраняется плодородие почвы."
овес,субтропическая,глинистая,сидераты,люцерна,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после люцерна.
рапс,засушливая,супесчаная,бобовые,подсолнечник,осень,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
картофель,субтропическая,супесчаная,сидераты,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под картофель.
соя,континентальная,глинистая,сидераты,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под соя.
рожь,континентальная,супесчаная,бобовые,озимая пшеница,весна,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
рапс,засушливая,супесчаная,кормовые,ячмень,лето,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под рапс.
рапс,южная,глинистая,технические,люцерна,осень,защита растений,Проверить посевы рапс после люцерна на болезни и провести профилактическую обработку.
рожь,северная,супесчаная,овощи,люцерна,весна,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после люцерна.
рожь,северная,суглинок,технические,люцерна,весна,защита растений,Проверить посевы рожь после люцерна на болезни и провести профилактическую обработку.
соя,умеренная,суглинок,овощи,озимая пшеница,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
рапс,континентальная,глинистая,сидераты,соя,лето,защита растений,Проверить посевы рапс после соя на болезни и провести профилактическую обработку.
кукуруза,южная,песчаная,бобовые,люцерна,весна,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под кукуруза.
гречиха,южная,торфяная,зерновые,овес,лето,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под гречиха.
кукуруза,южная,чернозем,сидераты,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рапс,засушливая,супесчаная,кормовые,ячмень,лето,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под рапс.
ячмень,северная,чернозем,овощи,ячмень,осень,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после ячмень.
картофель,умеренная,торфяная,бобовые,овес,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после овес.
пшеница,умеренная,песчаная,зерновые,горох,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после горох.
ячмень,южная,торфяная,зерновые,многолетние травы,лето,севооборот,"После многолетние травы, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
гречиха,засушливая,песчаная,кормовые,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
картофель,северная,суглинок,технические,горох,осень,защита растений,Проверить посевы картофель после горох на болезни и провести профилактическую обработку.
рожь,умеренная,песчаная,технические,ячмень,весна,защита растений,Проверить посевы рожь после ячмень на болезни и провести профилактическую обработку.
рапс,субтропическая,суглинок,зерновые,пар,весна,севооборот,"После пар, лучше всего сажать рапс, так как сохраняется плодородие почвы."
подсолнечник,северная,глинистая,кормовые,горох,лето,защита растений,Проверить посевы подсолнечник после горох на болезни и провести профилактическую обработку.
овес,засушливая,супесчаная,бобовые,озимая пшеница,лето,севооборот,"После озимая пшеница, лучше всего сажать овес, так как сохраняется плодородие почвы."
пшеница,субтропическая,песчаная,зерновые,люцерна,осень,защита растений,Проверить посевы пшеница после люцерна на болезни и провести профилактическую обработку.
подсолнечник,континентальная,глинистая,овощи,люцерна,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после люцерна.
картофель,засушливая,глинистая,сидераты,люцерна,весна,защита растений,Проверить посевы картофель после люцерна на болезни и провести профилактическую обработку.
соя,континентальная,суглинок,сидераты,кукуруза,лето,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после кукуруза.
кукуруза,засушливая,чернозем,технические,горох,лето,защита растений,Проверить посевы кукуруза после горох на болезни и провести профилактическую обработку.
кукуруза,засушливая,чернозем,овощи,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под кукуруза.
подсолнечник,южная,суглинок,сидераты,люцерна,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после люцерна.
рапс,субтропическая,чернозем,бобовые,картофель,осень,севооборот,"После картофель, лучше всего сажать рапс, так как сохраняется плодородие почвы."
подсолнечник,субтропическая,песчаная,сидераты,овес,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после овес.
кукуруза,континентальная,супесчаная,сидераты,овес,весна,севооборот,"После овес, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
подсолнечник,континентальная,торфяная,зерновые,горох,осень,защита растений,Проверить посевы подсолнечник после горох на болезни и провести профилактическую обработку.
рапс,субтропическая,супесчаная,кормовые,многолетние травы,весна,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под рапс.
соя,умеренная,песчаная,зерновые,ячмень,весна,севооборот,"После ячмень, лучше всего сажать соя, так как сохраняется плодородие почвы."
рожь,южная,супесчаная,зерновые,пар,осень,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под рожь.
картофель,засушливая,торфяная,сидераты,озимая пшеница,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
рожь,континентальная,суглинок,овощи,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать рожь, так как сохраняется плодородие почвы."
кукуруза,континентальная,супесчаная,кормовые,пар,весна,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после пар.
рапс,умеренная,торфяная,овощи,картофель,весна,севооборот,"После картофель, лучше всего сажать рапс, так как сохраняется плодородие почвы."
подсолнечник,засушливая,супесчаная,овощи,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
кукуруза,субтропическая,супесчаная,сидераты,озимая пшеница,лето,севооборот,"После озимая пшеница, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
соя,континентальная,супесчаная,зерновые,соя,лето,защита растений,Проверить посевы соя после соя на болезни и провести профилактическую обработку.
подсолнечник,засушливая,песчаная,сидераты,многолетние травы,весна,севооборот,"После многолетние травы, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
кукуруза,субтропическая,суглинок,сидераты,подсолнечник,лето,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
кукуруза,засушливая,супесчаная,овощи,соя,лето,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под кукуруза.
пшеница,континентальная,глинистая,технические,многолетние травы,лето,защита растений,Проверить посевы пшеница после многолетние травы на болезни и провести профилактическую обработку.
картофель,засушливая,глинистая,зерновые,гречиха,лето,севооборот,"После гречиха, лучше всего сажать картофель, так как сохраняется плодородие почвы."
соя,субтропическая,суглинок,сидераты,гречиха,осень,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после гречиха.
кукуруза,северная,торфяная,зерновые,люцерна,осень,защита растений,Проверить посевы кукуруза после люцерна на болезни и провести профилактическую обработку.
кукуруза,континентальная,суглинок,овощи,люцерна,осень,севооборот,"После люцерна, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
кукуруза,южная,суглинок,сидераты,подсолнечник,лето,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
картофель,субтропическая,торфяная,зерновые,горох,весна,защита растений,Проверить посевы картофель после горох на болезни и провести профилактическую обработку.
рапс,субтропическая,суглинок,зерновые,ячмень,осень,защита растений,Проверить посевы рапс после ячмень на болезни и провести профилактическую обработку.
кукуруза,умеренная,чернозем,кормовые,горох,осень,защита растений,Проверить посевы кукуруза после горох на болезни и провести профилактическую обработку.
кукуруза,субтропическая,супесчаная,овощи,подсолнечник,весна,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
подсолнечник,засушливая,глинистая,технические,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под подсолнечник.
рапс,субтропическая,супесчаная,сидераты,ячмень,осень,защита растений,Проверить посевы рапс после ячмень на болезни и провести профилактическую обработку.
соя,субтропическая,супесчаная,овощи,картофель,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после картофель.
ячмень,умеренная,чернозем,овощи,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под ячмень.
пшеница,континентальная,торфяная,кормовые,овес,осень,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после овес.
рожь,южная,глинистая,овощи,горох,лето,защита растений,Проверить посевы рожь после горох на болезни и провести профилактическую обработку.
соя,континентальная,суглинок,зерновые,картофель,весна,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под соя.
рапс,субтропическая,чернозем,овощи,гречиха,лето,защита растений,Проверить посевы рапс после гречиха на болезни и провести профилактическую обработку.
ячмень,континентальная,торфяная,кормовые,люцерна,лето,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после люцерна.
подсолнечник,субтропическая,чернозем,бобовые,пар,лето,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под подсолнечник.
пшеница,континентальная,глинистая,технические,ячмень,весна,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под пшеница.
рожь,южная,супесчаная,бобовые,ячмень,лето,севооборот,"После ячмень, лучше всего сажать рожь, так как сохраняется плодородие почвы."
пшеница,умеренная,чернозем,кормовые,соя,осень,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под пшеница.
рапс,субтропическая,чернозем,бобовые,соя,весна,севооборот,"После соя, лучше всего сажать рапс, так как сохраняется плодородие почвы."
овес,засушливая,суглинок,кормовые,овес,лето,севооборот,"После овес, лучше всего сажать овес, так как сохраняется плодородие почвы."
овес,северная,торфяная,кормовые,гречиха,весна,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после гречиха.
пшеница,южная,чернозем,бобовые,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под пшеница.
кукуруза,континентальная,торфяная,бобовые,пар,осень,севооборот,"После пар, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
кукуруза,субтропическая,торфяная,овощи,ячмень,лето,севооборот,"После ячмень, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
соя,засушливая,супесчаная,бобовые,многолетние травы,осень,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
соя,субтропическая,глинистая,сидераты,кукуруза,лето,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под соя.
ячмень,субтропическая,супесчаная,технические,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под ячмень.
картофель,континентальная,супесчаная,сидераты,гречиха,лето,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под картофель.
рапс,южная,песчаная,овощи,многолетние травы,весна,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под рапс.
ячмень,северная,чернозем,кормовые,ячмень,лето,защита растений,Проверить посевы ячмень после ячмень на болезни и провести профилактическую обработку.
ячмень,северная,супесчаная,зерновые,картофель,осень,севооборот,"После картофель, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
кукуруза,южная,песчаная,зерновые,ячмень,осень,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под кукуруза.
рапс,умеренная,чернозем,бобовые,гречиха,лето,севооборот,"После гречиха, лучше всего сажать рапс, так как сохраняется плодородие почвы."
рожь,засушливая,чернозем,кормовые,картофель,лето,севооборот,"После картофель, лучше всего сажать рожь, так как сохраняется плодородие почвы."
овес,северная,торфяная,зерновые,озимая пшеница,весна,севооборот,"После озимая пшеница, лучше всего сажать овес, так как сохраняется плодородие почвы."
рапс,южная,песчаная,сидераты,горох,лето,защита растений,Проверить посевы рапс после горох на болезни и провести профилактическую обработку.
гречиха,континентальная,суглинок,технические,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под гречиха.
кукуруза,южная,глинистая,кормовые,люцерна,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после люцерна.
картофель,субтропическая,суглинок,сидераты,пар,осень,защита растений,Проверить посевы картофель после пар на болезни и провести профилактическую обработку.
кукуруза,засушливая,песчаная,овощи,гречиха,осень,севооборот,"После гречиха, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рапс,континентальная,супесчаная,бобовые,соя,лето,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после соя.
соя,засушливая,песчаная,зерновые,горох,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после горох.
подсолнечник,умеренная,суглинок,кормовые,озимая пшеница,весна,севооборот,"После озимая пшеница, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
овес,засушливая,чернозем,овощи,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под овес.
гречиха,засушливая,торфяная,сидераты,горох,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после горох.
рапс,умеренная,торфяная,бобовые,люцерна,весна,защита растений,Проверить посевы рапс после люцерна на болезни и провести профилактическую обработку.
овес,субтропическая,песчаная,бобовые,люцерна,лето,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после люцерна.
рожь,засушливая,суглинок,сидераты,гречиха,весна,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под рожь.
ячмень,северная,суглинок,кормовые,картофель,весна,защита растений,Проверить посевы ячмень после картофель на болезни и провести профилактическую обработку.
гречиха,засушливая,суглинок,технические,ячмень,осень,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под гречиха.
овес,умеренная,песчаная,технические,овес,осень,севооборот,"После овес, лучше всего сажать овес, так как сохраняется плодородие почвы."
подсолнечник,умеренная,супесчаная,сидераты,пар,осень,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под подсолнечник.
соя,субтропическая,торфяная,зерновые,овес,лето,защита растений,Проверить посевы соя после овес на болезни и провести профилактическую обработку.
пшеница,северная,чернозем,кормовые,овес,осень,севооборот,"После овес, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
картофель,умеренная,чернозем,технические,люцерна,весна,защита растений,Проверить посевы картофель после люцерна на болезни и провести профилактическую обработку.
картофель,умеренная,чернозем,овощи,овес,весна,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после овес.
овес,континентальная,суглинок,овощи,ячмень,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после ячмень.
кукуруза,субтропическая,песчаная,бобовые,овес,осень,севооборот,"После овес, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
соя,северная,глинистая,бобовые,гречиха,осень,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после гречиха.
гречиха,субтропическая,глинистая,бобовые,кукуруза,осень,защита растений,Проверить посевы гречиха после кукуруза на болезни и провести профилактическую обработку.
пшеница,северная,супесчаная,бобовые,ячмень,весна,севооборот,"После ячмень, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
пшеница,южная,глинистая,овощи,люцерна,осень,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после люцерна.
кукуруза,субтропическая,суглинок,овощи,горох,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после горох.
рапс,засушливая,торфяная,овощи,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под рапс.
картофель,засушливая,торфяная,сидераты,люцерна,осень,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под картофель.
ячмень,умеренная,чернозем,бобовые,кукуруза,осень,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после кукуруза.
подсолнечник,умеренная,супесчаная,технические,многолетние травы,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
рапс,засушливая,песчаная,технические,овес,весна,защита растений,Проверить посевы рапс после овес на болезни и провести профилактическую обработку.
подсолнечник,континентальная,суглинок,сидераты,гречиха,весна,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под подсолнечник.
соя,умеренная,песчаная,сидераты,подсолнечник,лето,защита растений,Проверить посевы соя после подсолнечник на болезни и провести профилактическую обработку.
подсолнечник,засушливая,супесчаная,зерновые,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под подсолнечник.
подсолнечник,континентальная,супесчаная,сидераты,кукуруза,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после кукуруза.
кукуруза,засушливая,чернозем,технические,подсолнечник,весна,защита растений,Проверить посевы кукуруза после подсолнечник на болезни и провести профилактическую обработку.
пшеница,континентальная,суглинок,зерновые,озимая пшеница,осень,защита растений,Проверить посевы пшеница после озимая пшеница на болезни и провести профилактическую обработку.
овес,северная,супесчаная,сидераты,подсолнечник,весна,севооборот,"После подсолнечник, лучше всего сажать овес, так как сохраняется плодородие почвы."
рапс,засушливая,чернозем,кормовые,многолетние травы,лето,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
соя,умеренная,песчаная,технические,соя,осень,защита растений,Проверить посевы соя после соя на болезни и провести профилактическую обработку.
подсолнечник,северная,чернозем,бобовые,озимая пшеница,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
картофель,южная,песчаная,овощи,соя,лето,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после соя.
рапс,южная,песчаная,овощи,картофель,осень,севооборот,"После картофель, лучше всего сажать рапс, так как сохраняется плодородие почвы."
ячмень,умеренная,супесчаная,зерновые,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под ячмень.
картофель,северная,супесчаная,технические,люцерна,лето,севооборот,"После люцерна, лучше всего сажать картофель, так как сохраняется плодородие почвы."
подсолнечник,субтропическая,песчаная,бобовые,пар,осень,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после пар.
ячмень,южная,супесчаная,сидераты,пар,весна,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после пар.
рожь,субтропическая,суглинок,бобовые,люцерна,осень,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после люцерна.
ячмень,континентальная,торфяная,технические,соя,лето,защита растений,Проверить посевы ячмень после соя на болезни и провести профилактическую обработку.
подсолнечник,континентальная,супесчаная,бобовые,озимая пшеница,весна,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под подсолнечник.
рапс,континентальная,супесчаная,технические,гречиха,осень,севооборот,"После гречиха, лучше всего сажать рапс, так как сохраняется плодородие почвы."
гречиха,субтропическая,супесчаная,зерновые,многолетние травы,весна,защита растений,Проверить посевы гречиха после многолетние травы на болезни и провести профилактическую обработку.
рапс,континентальная,торфяная,зерновые,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать рапс, так как сохраняется плодородие почвы."
кукуруза,северная,чернозем,кормовые,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под кукуруза.
рапс,засушливая,супесчаная,кормовые,гречиха,весна,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под рапс.
гречиха,континентальная,глинистая,кормовые,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
подсолнечник,южная,чернозем,бобовые,пар,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после пар.
овес,засушливая,торфяная,сидераты,люцерна,лето,севооборот,"После люцерна, лучше всего сажать овес, так как сохраняется плодородие почвы."
соя,южная,песчаная,сидераты,соя,лето,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после соя.
